filename,label,set_type,url
train_clean_020_aug2.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928299/augmented/train/clean/train_clean_020_aug2.jpg
train_clean_051_aug1.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928300/augmented/train/clean/train_clean_051_aug1.jpg
train_clean_002_aug2.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928301/augmented/train/clean/train_clean_002_aug2.jpg
train_clean_075_aug2.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928301/augmented/train/clean/train_clean_075_aug2.jpg
train_clean_111_aug3.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928307/augmented/train/clean/train_clean_111_aug3.jpg
train_clean_049.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928308/augmented/train/clean/train_clean_049.jpg
train_clean_032_aug1.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928308/augmented/train/clean/train_clean_032_aug1.jpg
train_clean_040_aug1.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928309/augmented/train/clean/train_clean_040_aug1.jpg
train_clean_027_aug1.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928309/augmented/train/clean/train_clean_027_aug1.jpg
train_clean_041.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928310/augmented/train/clean/train_clean_041.jpg
train_clean_079_aug1.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928311/augmented/train/clean/train_clean_079_aug1.jpg
train_clean_074_aug3.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928311/augmented/train/clean/train_clean_074_aug3.jpg
train_clean_016_aug1.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928312/augmented/train/clean/train_clean_016_aug1.jpg
train_clean_046_aug1.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928313/augmented/train/clean/train_clean_046_aug1.jpg
train_clean_010_aug3.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928314/augmented/train/clean/train_clean_010_aug3.jpg
train_clean_100_aug2.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928314/augmented/train/clean/train_clean_100_aug2.jpg
train_clean_087_aug2.jpg,clean,train,https://res.cloudinary.com/dnd06giqm/image/upload/v1743928315/augmented/train/clean/train_clean_087_aug2.jpg
